Name,Text
*Tesla Report $750M Senor Note Offering,Financial_Orbit,They might have a coalition together before #Greece signs its latest can kicking debt deal...you never know! https://t.co/oR5HB6d9gQ,LiveSquawk,RT @AxelMerk: Dutch election: the heated campaign ultimately lead to a high voter turnout in possibly another signal for other upcoming ele…,LiveSquawk,RT @Financial_Orbit: They might have a coalition together before #Greece signs its latest can kicking debt deal...you never know! https://t…,MarkYusko,#Risk, what is this thing you call risk...? https://t.co/YK98ZDoK9R,MarkYusko,#HealthIsWealth https://t.co/H9OR1PI53T,Financial_Orbit,It’s a relaxing Sunday. Why don’t you use it to read the #macrobulletins of the week? https://t.co/R87LzTXlGN,IvanTheK,Good networking move. https://t.co/ANfVYrfaz2,bySamRo,very strong tweet https://t.co/K1mF1u7fuY,bySamRo,RT @enews: Hugh Hefner's son shares an update on his dad's health: https://t.co/1eRLNM6VrP https://t.co/PSagTwjgtK,bySamRo,RT @BLS_gov: Fatal injuries at road work zones https://t.co/3c0GP8Y65s #JobSafety #BLSdata https://t.co/kluASY22Rq,LiveSquawk,Ex-PBOC Advisor: China Should Control Housing Loans – Daily,LiveSquawk,Chinese Cities Target 2.84 Tln Yuan Big Data Industry – 21st Herald,vexmark,Toronto home prices soared a record 33% from a year ago, pushing the cost of an average detached downtown home to a… https://t.co/UDxn0bQODx,MarkYusko,RT @MorganCreekDist: Around the World with Yusko: April Fools: Hope Is Not An Investment Strategy is April 20, 2017 at 1pm EDT; Register: h…,MarkYusko,But, but, but what about the #MostHatedBullMarket #Narrative? #PeskyFacts always ruining the good stories... 
Facts… https://t.co/ZlFAaIlV1K,MarkYusko,#VariantPerception
$TLT &gt; $SPX in 2017 https://t.co/G1lJ25vPs8,MarkYusko,#Boomernomics is all that matters. 10k #Boomers turn 65 every day in U.S. (Europe too) Turns out 65-85 yr olds pref… https://t.co/YYuTZmAMdB,MarkYusko,This #EconomicCycle has peaked. https://t.co/Q4PCVc4khj,vexmark,Moody's: China's banking sector more vulnerable to property-related shock due to rising exposure to property market… https://t.co/brov7ymtEh,vexmark,China's new stimulus plan is to announce a new economic zone every time impact on growth from its previous stimulus… https://t.co/6XJ5rk75Ms,vexmark,RT @ComfortablySmug: On the bright side that's only 70% of what a man would owe https://t.co/GTfCes0p3W,LiveSquawk,Japan Buying Foreign Bonds (JPY) 31-Mar: 1099.8B (prev -151.6B) 
- Japan Buying Foreign Stocks (JPY) 31-Mar: 335.4B (prev -294.0B),LiveSquawk,Foreign Buying Japan Bonds (JPY) 31-Mar: 890.0B (prev -1923.7B)
- Foreign Buying Japan Stocks (JPY) 31-Mar: 584.5B (prev -754.3B),Samir_Madani,RT @BBCBreaking: Aung San Suu Kyi says there is no ethnic cleansing of Muslim minority in Myanmar, in a BBC interview #BBCNewsTen https://t…,SconsetCapital,"George is getting upset!!!" https://t.co/fta4P2PNPC,IvanTheK,RT @sarahkliff: New poll shows 61% of voters say they’d blame the GOP for new problems with Obamacare. https://t.co/bV8uh3rudr,MarkYusko,RT @sp3culator: What is a fractal? @MarkYusko https://t.co/vYO6gODZyd,MarkYusko,Some might say a 1% loss in 90 minutes might be a slight eye batting... that said, both eyes will be blackened IF t… https://t.co/i0My4dgySh,MarkYusko,#IHearSpringsteen
Going down, down, down, down... https://t.co/3KlU0Yp0OO,MarkYusko,#JustMath https://t.co/qG9BqfdhZu,MarkYusko,Repeal #DoddFrankenstein
#BringBackGlassSteagall https://t.co/lkEfh7EpdL,MarkYusko,#RiddleMeThis https://t.co/1djKonZDbS,MarkYusko,Brought to you by the American Snack Foods Association...? 😉😂 https://t.co/VanGE4OkMa,Samir_Madani,RT @RudyHavenstein: Unintended Consequences #Syria https://t.co/cMTZl8GSpi,LiveSquawk,Hong Kong Manufacturing PMI Mar: 49.9 (prev 49.6),MarkYusko,#ThinAirCredit growth (commercial bank credit + monetary base) slowed to 0% in Q4 after averaging 7.3% for past 60… https://t.co/cthBc6SL5c,MarkYusko,#TwoWrongsWontMakeItRight #Fed #PolicyError https://t.co/TPQTHlRBms,MarkYusko,Awesome!
In Investing, it always pays to #BewareTheUXO https://t.co/MXwZA9QoKA,MarkYusko,#Yes #GetReal (assets that is) https://t.co/YQDYwEZUaw,LiveSquawk,U.S. And South Korea Reaffirm Plans To Deploy U.S. Anti-Missile Defence System As Scheduled -  South Korea Presidential Office,MarkYusko,Amen Amigo. Funny story. Coaching Y-soccer years ago (pre kids) a mom asked me which was mine, said "none" she said… https://t.co/h0u63V4bXF,MarkYusko,#FollowTheTalent https://t.co/PPVKYvmKcH,Samir_Madani,RT @PetroleumEcon: #China extended much credit to secure #oil supplies. Now it needs borrowers to start repaying #OOTT… ,Samir_Madani,RT @Breaking911: BREAKING: Trump tells Japan's Abe US will boost military capabilities against North Korea - AFP,IvanTheK,RT @TimAeppel: Best correction of the year so far. https://t.co/h0SN66pELP,Samir_Madani,ICYMI #OOTT https://t.co/9Y4qjAfSWt https://t.co/oQsofUcKVo,LiveSquawk,PBoC To Skip Open Market Ops Today,LiveSquawk,PBoC Fixes USDCNY Reference Rate At 6.8930 (prev fix 6.8906 prev close 6.8975),LiveSquawk,PBoC Gauges Demand For 7, 14 &amp; 28 Day Reverse Repos,LiveSquawk,U.S. Senate To Vote On Ending Democratic Blockade Against Trump Supreme Court Nominee Gorsuch Likely At 11 A.M. EDT/1500 GMT Thursday – RTRS,MarkYusko,#AMZNRoadKill or #TheRWord? https://t.co/yi5vPhds8v,MarkYusko,Something good from the #IdesOfMarch https://t.co/gA3uPLOj3p,MarkYusko,Exactly what the mom was implying to me... #Crazy https://t.co/0oLzrZreOB,MarkYusko,#Always https://t.co/A4TMSyWX9O,MarkYusko,#SourceInformation
#Experience
#Perspective https://t.co/E19G6bgSL2,IvanTheK,Check back soon! https://t.co/A6pF0naU95,MarkYusko,This is what happens when President w/ no political experience goes to Washington... #SwampStillFull… https://t.co/YdRCK44nLu,MarkYusko,Wait, what, you mean when 1/3 of car loans are 72 to 84 months and have negative equity, that's a problem...?… https://t.co/JsNza02Sbw,CiovaccoCapital,Tentative plan for this week's video is to review numerous pieces of evidence covered since AUG 2016.... where does evidence stand today?,MarkYusko,Hahahahahaha LM, you kill me... 😂😂😂 https://t.co/jDZ979iBVb,MarkYusko,#HockeySchool #GoIrish 🍀 https://t.co/2tN6FyPInX,MarkYusko,Join me tomorrow as we discuss why we could be on the road to #Hooverville and what you can do about it in your por… https://t.co/2VcGLeyabb,MarkYusko,Funny how caloric restriction causes weight loss...
#WhoWouldaThunkIt
Like not buying $SPX near record valuations k… https://t.co/NeSFv7AjKk,MarkYusko,#ROTFL https://t.co/8h4Oiullx6,MarkYusko,No https://t.co/l76T2qwERR,MarkYusko,#AllGood
#BubbleBustingBenefits https://t.co/KaoQLiWdqn,LiveSquawk,Trump Says He May Include Infrastructure Plan In Either Healthcare Or Tax Reform Legislation - New York Times,IvanTheK,You're welcome, America.

https://t.co/8XNiPZouQC https://t.co/8PRWW4YI1d,MarkYusko,#NotPolitical 
#FedInABox
Made policy error in 2013 by not raising and have no choice to make second mistake now...… https://t.co/rn4Klk1Av3,LiveSquawk,Chinese Caixin Services PMI Mar: 52.1 (prev 52.6) 
-Composite PMI Mar: 52.2 (prev 52.6),MarkYusko,Are you sure he had one to begin with...? #TooEasy 😉👊🏻 https://t.co/Xqus16B3b7,MarkYusko,Fairly important. 😉 Gracias Amigo https://t.co/o147LNCU4e,LiveSquawk,Trump Says He Wants To See How Healthcare Proceeds In Congress Before Settling On Details Of Tax Reform Bill -New York Times,MarkYusko,#SillyMe
Been making so hard on myself all these yrs being disciplined to buy when on sale &amp; sell when above fair v… https://t.co/A1I96ZOGHj,MarkYusko,#FewTruerWordsSpoken
"If someone doesn't stand for something, they will fall for anything..." Alexander Hamilton
Ch… https://t.co/GUJVgF0S13,LiveSquawk,Trump Says He Will Make An Announcement In Two Weeks On Davis-Bacon Act That Regulates Wages On Federally Funded Projects,MarkYusko,Passive/Indexing (particularly cap weighted) is just a momentum strategy. Works great on way up and horrifically on… https://t.co/06PUO0g8a4,MarkYusko,#RuhRoh https://t.co/6dhSXrzBqj,MarkYusko,#Amen https://t.co/CSMwCX7a8h,MarkYusko,#ROTFL
#DontMessWithASoccerMom https://t.co/G0GyjNJEHU,LiveSquawk,French Election Harris Poll: R1 Macron 25% (prev 24%) Le Pen 25% (prev 24%) 
- R2 Macron To Beat Le Pen 62/38 (prev 65/35),IvanTheK,#LGM,IvanTheK,Obfuscation, Evasion, Distraction! https://t.co/Fc1Dq8YzU7,IvanTheK,whew
#LGM,MarkYusko,Great Point! #Consumer tapped out.. #EconomicCycle ending https://t.co/uNg2jgvFf5,MarkYusko,😂💪🏻 https://t.co/czE7Y7maoh,MarkYusko,RT @CharlatanCap: GOAT! https://t.co/gCxDo0SCAs,MarkYusko,Perhaps more than anything else in my #Edge list, Principles are critical character trait to be great (in anything)… https://t.co/wWRLi2YhDO,MarkYusko,#Brilliant
Think you give her too much credit, but desperate people will do desperate things &amp; who does buyer of la… https://t.co/M3NJGSMDER,MarkYusko,#TweetOfTheYearContender
#TrulyDazzling
#BuyBuyBuyBuyBuy https://t.co/1SxhxiuQX5,MarkYusko,All true, don't forget #LessCrowded 😉 https://t.co/rrauGEFo21,MarkYusko,#FlagDown
No logic allowed during evening hyperbolic Twitter... 😉👍🏻 https://t.co/BP39ffuKqS,MarkYusko,Perhaps a little too true... https://t.co/PFH6i2ZqVL,MarkYusko,Amigo, You Are. Dare I Say. En Fuego. este noche. 🔥 https://t.co/LGSBGL7kMX,MarkYusko,Gracias Amigo! You are far too kind. JP is an amazing talent &amp; has been a great help to me in my career. Made us a… https://t.co/5qXJOkWNDi,MarkYusko,#LookOutBelow
#RiskHappensFast https://t.co/upPXj4TQCF,MarkYusko,Gracias Amigo! Appreciate the kind words and thanks for reaching out. Big fan of your work as well 🍀 
In CA often,… https://t.co/6ICC0g8EvX,IvanTheK,Lethal Weap-pen https://t.co/tgvEUofnmV,IvanTheK,Mets' longest winning streak of the season ends at 1.,MarkYusko,Good point, but unlikely that barbarous relic gets enough followers... https://t.co/tFs6jdjejY,MarkYusko,#IResembleThatRemark https://t.co/VGM5GCSuNd,MarkYusko,Gracias Amigo! On both fronts. 😉
Link to last letter: https://t.co/gjBngd6Kne
